title,url,description,category,sub_category,skills,extracted_entities
Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",Computer Science,Software Development,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ","{'SKILL': [{'word': 'Software Design', 'score': 0.9914014935493469}, {'word': 'Architecture', 'score': 0.9984861016273499}, {'word': 'Python Programming', 'score': 0.9891070127487183}, {'word': 'Git', 'score': 0.9091110825538635}, {'word': 'Github', 'score': 0.8565254211425781}, {'word': 'Software Development Lifecycle', 'score': 0.9916754364967346}, {'word': 'SDLC', 'score': 0.6795341968536377}, {'word': 'Basic Programming', 'score': 0.9851486682891846}, {'word': 'Career', 'score': 0.867631733417511}, {'word': 'Software Engineering', 'score': 0.754619300365448}, {'word': 'Programming Languages', 'score': 0.845122754573822}, {'word': 'Software Development Lifecycle', 'score': 0.9883330464363098}, {'word': 'SDLC', 'score': 0.6478152275085449}, {'word': 'Software Architecture', 'score': 0.9883705377578735}, {'word': 'Shell Script', 'score': 0.9879307150840759}, {'word': 'Bash', 'score': 0.9041767120361328}, {'word': 'Unix Shell', 'score': 0.7605990171432495}]}"
Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Information Technology,Cloud Computing,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ","{'SKILL': [{'word': 'Python Programming', 'score': 0.9961310625076294}, {'word': 'Node. Js', 'score': 0.8584693074226379}, {'word': 'HTML', 'score': 0.8763623833656311}, {'word': 'CSS', 'score': 0.9626539945602417}, {'word': 'Cloud Applications', 'score': 0.9837579727172852}, {'word': 'Cloud Native', 'score': 0.9440804719924927}, {'word': 'Hybrid Multicloud', 'score': 0.7721273303031921}, {'word': 'Cloud Computing', 'score': 0.9883565902709961}, {'word': 'Ascading Style Sheets', 'score': 0.874652087688446}, {'word': 'CSS', 'score': 0.8558071851730347}, {'word': 'HTML', 'score': 0.870022714138031}, {'word': 'Git', 'score': 0.7565863132476807}, {'word': 'Software', 'score': 0.6863844990730286}], 'TOOL': [{'word': 'Iaas Paas', 'score': 0.692964494228363}]}"
Python for Everybody Specialization,https://www.coursera.org/specializations/python,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",Computer Science,Software Development,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ","{'SKILL': [{'word': 'Python Programming', 'score': 0.9880003333091736}, {'word': 'Database', 'score': 0.9522168040275574}, {'word': 'DBMS', 'score': 0.7086204886436462}, {'word': 'Python Syntax', 'score': 0.9689618349075317}, {'word': 'Semantics', 'score': 0.9822511672973633}, {'word': 'Basic Programming Language', 'score': 0.9720726609230042}, {'word': 'Computer Programming', 'score': 0.8922948837280273}, {'word': 'Data Structure', 'score': 0.80991530418396}, {'word': 'Tuple', 'score': 0.9509457945823669}, {'word': 'Web Scraping', 'score': 0.9183874726295471}, {'word': 'Qlite', 'score': 0.9281175136566162}, {'word': 'SQL', 'score': 0.6815102100372314}]}"
Information Technology (IT) and Cloud Fundamentals Specialization,https://www.coursera.org/specializations/it-cloud-fundamentals,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",Information Technology,Cloud Computing,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ","{'SKILL': [{'word': 'IT Fundament', 'score': 0.8584946990013123}, {'word': 'Cybersecurity', 'score': 0.9786558151245117}, {'word': 'Cloud', 'score': 0.8345166444778442}, {'word': 'Networking', 'score': 0.9185956716537476}, {'word': 'Technical Support', 'score': 0.9494638442993164}, {'word': 'IT Service Management', 'score': 0.9668342471122742}, {'word': 'ITSM', 'score': 0.6085234880447388}, {'word': 'Troubleshooting', 'score': 0.898059606552124}, {'word': 'IT Career', 'score': 0.9350647926330566}, {'word': 'Software Development Process', 'score': 0.9676306843757629}, {'word': 'Database Management', 'score': 0.9431770443916321}, {'word': 'Software Application Development', 'score': 0.9811349511146545}]}"
"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,"Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Information Technology,Data Management,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ","{'SKILL': [{'word': 'Shell Script', 'score': 0.9807634353637695}, {'word': 'Bash', 'score': 0.9589029550552368}, {'word': 'Unix Shell', 'score': 0.8789318799972534}, {'word': 'Linux', 'score': 0.6069510579109192}, {'word': 'Cloud Databases', 'score': 0.9737762808799744}, {'word': 'Python Programming', 'score': 0.974777102470398}, {'word': 'Relational Database Management System', 'score': 0.9310826659202576}, {'word': 'DBMS', 'score': 0.7745310664176941}, {'word': 'SQL', 'score': 0.9086593985557556}, {'word': 'Extraction', 'score': 0.8286190032958984}, {'word': 'Transformation', 'score': 0.8858294486999512}, {'word': 'Loading', 'score': 0.9955968260765076}, {'word': 'ETL', 'score': 0.8187074661254883}, {'word': 'Flow', 'score': 0.865597128868103}, {'word': 'Data Pipelines', 'score': 0.970809280872345}], 'TOOL': [{'word': 'Jupyter', 'score': 0.7803318500518799}]}"
Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Data Science,Machine Learning,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ","{'TOOL': [{'word': 'Word', 'score': 0.7989894151687622}], 'SKILL': [{'word': 'Machine Translation', 'score': 0.9958372712135315}, {'word': 'Sentiment Analysis', 'score': 0.9149807691574097}, {'word': 'Transformers', 'score': 0.9279521107673645}, {'word': 'Ten', 'score': 0.7829474210739136}, {'word': 'Tion Models', 'score': 0.8967931270599365}, {'word': 'Word Embeddings', 'score': 0.9757440686225891}, {'word': 'Locality - Sensitive Hashing', 'score': 0.9845366477966309}, {'word': 'Ector Space Models', 'score': 0.9732632040977478}, {'word': 'Parts', 'score': 0.7369943261146545}, {'word': 'Speech Tagging', 'score': 0.8113510012626648}, {'word': 'Language Models', 'score': 0.9952100515365601}, {'word': 'Autocor', 'score': 0.8035452365875244}, {'word': 'Word Embedding', 'score': 0.9726434946060181}]}"
Business Foundations Specialization,https://www.coursera.org/specializations/wharton-business-foundations,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business,Business Essentials,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ","{'SKILL': [{'word': 'Marketing', 'score': 0.9039132595062256}, {'word': 'Marketing', 'score': 0.6384552717208862}, {'word': 'Marketing Strategy', 'score': 0.9676786065101624}, {'word': 'Customer Satisfaction', 'score': 0.8885217308998108}, {'word': 'Financial Accounting', 'score': 0.9978070259094238}, {'word': 'Accounting', 'score': 0.9981715679168701}, {'word': 'Financial Statement', 'score': 0.9959468841552734}, {'word': 'Balance Sheet', 'score': 0.9400358200073242}, {'word': 'Decision - Making', 'score': 0.8960770964622498}, {'word': 'Change Management', 'score': 0.8323380947113037}, {'word': 'Human Resources', 'score': 0.7833783626556396}, {'word': 'Cash Flow', 'score': 0.9513611793518066}]}"
Meta React Native Specialization,https://www.coursera.org/specializations/meta-react-native,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Computer Science,Mobile and Web Development,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ","{'SKILL': [{'word': 'Web Development', 'score': 0.9190952777862549}, {'word': 'React', 'score': 0.902245283126831}, {'word': 'Web Framework', 'score': 0.756969690322876}, {'word': 'HTML', 'score': 0.7752842307090759}, {'word': 'CSS', 'score': 0.9150066375732422}, {'word': 'Mobile Development', 'score': 0.9884483814239502}, {'word': 'Javascript', 'score': 0.9820787906646729}, {'word': 'Test - Driven Development', 'score': 0.9359078407287598}, {'word': 'Front - End Web Development', 'score': 0.9769312739372253}, {'word': 'Bject - Oriented Programming', 'score': 0.9030228853225708}, {'word': 'OOP', 'score': 0.9865521192550659}, {'word': 'Linux', 'score': 0.7332991361618042}, {'word': 'Bash', 'score': 0.8204485177993774}, {'word': 'Unix Shell', 'score': 0.7432311773300171}, {'word': 'Github', 'score': 0.758335530757904}, {'word': 'Version Control', 'score': 0.8294031620025635}]}"
Mathematics for Machine Learning and Data Science Specialization,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Computer Science,Algorithms,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ","{'SKILL': [{'word': 'Statistics', 'score': 0.9613458514213562}, {'word': 'Machine Learning', 'score': 0.8055086731910706}, {'word': 'Mathematics', 'score': 0.9317169189453125}, {'word': 'Probability', 'score': 0.7807197570800781}, {'word': 'Linear Regression', 'score': 0.957612931728363}, {'word': 'Linear Equation', 'score': 0.9408907890319824}, {'word': 'Eigenvalues', 'score': 0.9474149942398071}, {'word': 'Eigenvectors', 'score': 0.9084141850471497}, {'word': 'Linear Algebra', 'score': 0.9324110746383667}, {'word': 'Determinants', 'score': 0.8825709819793701}, {'word': 'Calculus', 'score': 0.7036951780319214}, {'word': 'Mathematical Optimization', 'score': 0.9599968791007996}, {'word': 'Ient Descent', 'score': 0.8925883173942566}]}"
Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Business,Finance,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ","{'SKILL': [{'word': 'Corporate Finance', 'score': 0.9977259039878845}, {'word': 'Financial Accounting', 'score': 0.9982491731643677}, {'word': 'Financial Statement', 'score': 0.9980854988098145}, {'word': 'Accounting', 'score': 0.9316578507423401}, {'word': 'Decision - Making', 'score': 0.9594414234161377}, {'word': 'Cash Flow', 'score': 0.7952407598495483}, {'word': 'Cash Flow Analysis', 'score': 0.9826661944389343}, {'word': 'Balance Sheet', 'score': 0.9733467102050781}, {'word': 'Acc', 'score': 0.8337306976318359}, {'word': 'Accounting Principles', 'score': 0.7773240208625793}, {'word': 'Accounting Terminology', 'score': 0.7208955883979797}]}"
Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Data Science,Machine Learning,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ","{'SKILL': [{'word': 'Machine Learning Production Systems', 'score': 0.994793176651001}, {'word': 'Deployment Pipelines', 'score': 0.9412857294082642}, {'word': 'Model Pipelines', 'score': 0.944656252861023}, {'word': 'Data Pipelines', 'score': 0.9824181795120239}, {'word': 'Machine Learning Engineering', 'score': 0.9656038880348206}, {'word': 'Production', 'score': 0.9952743053436279}, {'word': 'Human - Level Performance', 'score': 0.9162758588790894}, {'word': 'Concept Drift', 'score': 0.9768969416618347}, {'word': 'Model Baseline', 'score': 0.9388985633850098}, {'word': 'Project Scoping', 'score': 0.9863225817680359}, {'word': 'Design', 'score': 0.998223602771759}, {'word': 'Deployment Challenge', 'score': 0.9925100207328796}, {'word': 'L Metadata', 'score': 0.8326314687728882}, {'word': 'Con', 'score': 0.9050081372261047}, {'word': 'Lutional Neural Network', 'score': 0.8902990221977234}]}"
Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business,Business Essentials,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ","{'SKILL': [{'word': 'Financial Modeling', 'score': 0.9971222877502441}, {'word': 'Lation', 'score': 0.8378831744194031}, {'word': 'Linear Programming', 'score': 0.8874211311340332}, {'word': 'Modeling', 'score': 0.9929796457290649}, {'word': 'Linear Regression', 'score': 0.9125900864601135}, {'word': 'Proba', 'score': 0.6460078954696655}, {'word': 'Bil', 'score': 0.6658788323402405}, {'word': 'Istic Models', 'score': 0.7871414422988892}, {'word': 'Reg', 'score': 0.9620372653007507}, {'word': 'Ression Analysis', 'score': 0.877763569355011}, {'word': 'Method', 'score': 0.7879520058631897}, {'word': 'Solver', 'score': 0.9242361783981323}, {'word': 'Risk', 'score': 0.9498471021652222}, {'word': 'Cash Flow', 'score': 0.9729966521263123}], 'TOOL': [{'word': 'Microsoft', 'score': 0.7582339644432068}, {'word': 'Cel', 'score': 0.6070768237113953}, {'word': 'Simu', 'score': 0.6509108543395996}, {'word': 'Monte Carlo', 'score': 0.790319561958313}]}"
Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Science,Data Analysis,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ","{'SKILL': [{'word': 'Er Analytics', 'score': 0.8675366044044495}, {'word': 'Analytics', 'score': 0.9669488072395325}, {'word': 'Business Analytics', 'score': 0.8892409801483154}, {'word': 'Decision Tree', 'score': 0.9019491076469421}, {'word': 'Predictive Analytics', 'score': 0.9306278228759766}, {'word': 'Regression Analysis', 'score': 0.9072940349578857}, {'word': 'Marketing Performance Measurement', 'score': 0.9501280784606934}, {'word': 'Management', 'score': 0.9979609251022339}, {'word': 'Simulation', 'score': 0.8150791525840759}, {'word': 'Mathematical Optimization', 'score': 0.9570274353027344}, {'word': 'Solver', 'score': 0.8953614234924316}, {'word': 'Talent Management', 'score': 0.9805984497070312}, {'word': 'Performance Management', 'score': 0.9247879981994629}]}"
